City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Flinders,AU,-34.5833,150.8552,59.81,86,49,6.13,scattered clouds
79,Lagoa,PT,39.05,-27.9833,55.99,62,99,30.11,overcast clouds
80,El Sauce,NI,12.8869,-86.539,82.6,38,0,8.05,clear sky
81,Gao,ML,16.6362,1.637,83.95,9,88,8.79,overcast clouds
82,Thompson,CA,55.7435,-97.8558,-0.24,78,90,3.44,light snow
83,Sao Filipe,CV,14.8961,-24.4956,76.03,68,32,12.03,scattered clouds
84,Mantamados,GR,39.3117,26.3339,57.25,79,100,13.94,overcast clouds
85,Nago,JP,26.5881,127.9761,69.87,64,97,14.83,overcast clouds
86,Yellowknife,CA,62.456,-114.3525,10.42,89,90,8.05,light snow
87,Gigmoto,PH,13.7796,124.39,78.69,88,99,16.08,overcast clouds
88,Vulcan,RO,45.3833,23.2667,30.13,95,74,1.81,broken clouds
89,Itoman,JP,26.1247,127.6694,69.82,64,75,16.11,broken clouds
90,New Norfolk,AU,-42.7826,147.0587,51.3,69,6,2.53,clear sky
91,Half Moon Bay,US,37.4636,-122.4286,52.59,84,90,5.01,overcast clouds
92,Asmar,AF,35.0333,71.3581,49.19,26,0,7.65,clear sky
93,Weligama,LK,5.9667,80.4167,77.63,84,99,7.29,overcast clouds
94,Hudiksvall,SE,61.729,17.1036,28.02,94,98,6.31,overcast clouds
95,Carnarvon,AU,-24.8667,113.6333,69.87,78,40,25.32,scattered clouds
96,Carutapera,BR,-1.195,-46.02,89.15,55,40,11.05,scattered clouds
97,Simao,CN,22.7886,100.9748,55.17,95,69,2.71,broken clouds
98,Matay,EG,28.419,30.7792,68.05,46,100,8.5,overcast clouds
99,Gat,IL,31.61,34.7642,70.39,42,100,0.74,overcast clouds
100,Albany,US,42.6001,-73.9662,42.46,59,18,4.0,few clouds
101,Shenjiamen,CN,29.9576,122.298,52.25,63,98,19.39,overcast clouds
102,Dikson,RU,73.5069,80.5464,-20.76,95,43,10.8,scattered clouds
103,Komsomolskiy,UZ,40.4272,71.7189,38.62,55,22,4.61,haze
104,Thessalon,CA,46.2501,-83.5666,37.69,78,8,23.17,clear sky
105,San Pedro,PH,14.35,121.0167,78.35,82,40,2.3,scattered clouds
106,Westport,US,41.1415,-73.3579,47.86,41,1,1.01,clear sky
107,Craig,US,40.5153,-107.5464,25.79,72,1,5.75,clear sky
108,Buala,SB,-8.145,159.5921,80.62,84,100,7.58,light rain
109,Barrow,US,71.2906,-156.7887,-9.38,70,1,14.97,clear sky
110,Ostrovnoy,RU,68.0531,39.5131,29.97,90,100,18.81,light snow
111,Port Moresby,PG,-9.4431,147.1797,74.62,100,75,5.75,broken clouds
112,Leningradskiy,RU,69.3833,178.4167,-32.15,92,7,3.71,clear sky
113,Vardo,NO,70.3705,31.1107,26.8,93,75,11.5,light snow
114,Touros,BR,-5.1989,-35.4608,88.7,59,7,15.52,clear sky
115,Coquimbo,CL,-29.9533,-71.3436,67.73,63,20,12.66,few clouds
116,Krasnaya Gorka,RU,55.1962,56.6673,7.21,95,16,2.01,few clouds
117,North Platte,US,41.1239,-100.7654,38.32,49,1,1.01,clear sky
118,Eureka,US,40.8021,-124.1637,48.92,94,94,3.0,overcast clouds
